id,platform,title,price,url,image_url,crawl_time
145,yahoo_rushbuy,24HRS 暢銷無鋼圈內衣爆款下殺1500|領券折後價,520,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=11654780,https://img.yec.tw/zp/MerchandiseImages/FC18604B09-Gd-11654780.jpg,2025-07-23T11:23:26.848430
146,yahoo_rushbuy,【毛孩時代】100%左旋離胺酸x10盒(添加黑酵母/貓狗保健食品/貓狗免疫力保健/寵物保健),2640,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=11670462,https://s.yimg.com/zp/MerchandiseImages/eff984041e-Gd-11670462.jpg,2025-07-23T11:23:26.848441
147,yahoo_rushbuy,[時時樂] Angemiel安婕米 精選1分真鑽戒指 IG爆款 破盤限時990,990,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=10957520,https://s.yimg.com/zp/MerchandiseImages/f1610d53ee-Gd-10957520.jpg,2025-07-23T11:23:26.848451
148,yahoo_rushbuy,船井 burner倍熱 極纖錠420粒獨家限定組+送夜孅胺基酸EX20粒_速,4299,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=10076897,https://s.yimg.com/zp/MerchandiseImages/d8d7ee4139-Gd-10076897.jpg,2025-07-23T11:23:26.848462
149,yahoo_rushbuy,美國iRobot Roomba i2 掃地機器人 獨家贈 倍潔雅衛生紙/箱+悠活原力金盞花萃取葉黃素+紅藻萃取蝦紅素複方軟膠囊(10顆/瓶)共三瓶,6899,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=11416522,https://img.yec.tw/zp/MerchandiseImages/131624198C-Gd-11416522.jpg,2025-07-23T11:23:26.848473
150,yahoo_rushbuy,五月花清膚柔潤抽取衛生紙100抽x72包/箱,799,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=6115530,https://s.yimg.com/zp/MerchandiseImages/f085040b4e-Gd-6115530.jpg,2025-07-23T11:23:26.848484
151,yahoo_rushbuy,Mdovia V3 Pro Coffee 奶泡專家 全自動義式咖啡機 琴韻白/晨曦玫瑰,6980,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=11454454,https://img.yec.tw/zp/MerchandiseImages/de25af2694-Gd-11454454.jpg,2025-07-23T11:23:26.848494
152,yahoo_rushbuy,【達摩本草】BmpP®美國專利山苦瓜胜肽 3入組(1入90顆、共270顆),2711,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=11477019,https://s.yimg.com/zp/MerchandiseImages/14DCB2B440-SP-18902629.jpg,2025-07-23T11:23:26.848504
153,yahoo_rushbuy,烘焙原味南瓜籽280G 每日優果,170,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=p0385178217007,https://img.yec.tw/cl/api/res/1.2/mvr4eOzWHQa58_cV.M1tMg--/YXBwaWQ9eXR3bWFsbDtoPTYwMDtxPTEwMDt3PTYwMA--/https://img.yec.tw/fy/9e17/item/p0385178217007-item-92c6xf4x1000x1000-m.jpg,2025-07-23T11:23:26.848514
154,yahoo_rushbuy,CLINIQUE 倩碧 水磁場微分子保濕精華 48ml,899,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=11663741,https://s.yimg.com/zp/MerchandiseImages/309D5C4494-SP-20348774.jpg,2025-07-23T11:23:26.848525
