id,session_id,platform,title,price,url,image_url,is_filtered_out
22,1,yahoo,鐵三角 ATH-CKS330NC Type-C 耳塞式降噪重低音耳機 耳塞耳機 有線耳機 降噪耳機,1350,https://tw.buy.yahoo.com/gdsale/鐵三角-ATH-CKS330NC-Type-C-耳塞式降噪重低音耳機-耳塞耳機-有線耳機-降躁耳機-11454390.html,https://s.yimg.com/zp/MerchandiseImages/EB683A1BE7-SP-18769839.jpg,0
23,1,yahoo,鐵三角 ATH-CK350x 耳塞式耳機,580,https://tw.buy.yahoo.com/gdsale/鐵三角-ATH-CK350x-耳塞式耳機-10398803.html,https://s.yimg.com/zp/MerchandiseImages/b85128de32-Gd-10398803.jpg,0
24,1,yahoo,鐵三角 ATH-M20 專業型監聽耳機 黑,1800,https://tw.buy.yahoo.com/gdsale/鐵三角-ATH-M20-專業型監聽耳機-黑-10269122.html,https://s.yimg.com/zp/MerchandiseImages/3E34B7011C-SP-12344832.jpg,0
25,1,yahoo,鐵三角 ATH-SQ1TW2 真無線耳機,2600,https://tw.buy.yahoo.com/gdsale/鐵三角-ATH-SQ1TW2-真無線耳機-10523492.html,https://s.yimg.com/zp/MerchandiseImages/0b2342310f-Gd-10523492.jpg,0
26,1,yahoo,SONY WF-C510 真無線藍牙耳機 (公司貨 保固12 個月),1690,https://tw.buy.yahoo.com/gdsale/SONY-WF-C510-真無線藍牙耳機-公司貨-保固12-個月-11212365.html,https://s.yimg.com/zp/MerchandiseImages/f2189e889e-Gd-11212365.jpg,0
27,1,yahoo,[福利品]SONY多彩耳塞式耳機MDR-E9LP散裝隨機色兩入,498,https://tw.buy.yahoo.com/gdsale/福利品-SONY多彩耳塞式耳機MDR-E9LP散裝-8844587.html,https://s.yimg.com/zp/MerchandiseImages/A7759F2AF9-SP-8077691.jpg,0
28,1,yahoo,Bose QuietComfort Ultra 消噪耳機 霧白,15800,https://tw.buy.yahoo.com/gdsale/Bose-QuietComfort-Ultra-消噪耳機-霧白-10785917.html,https://s.yimg.com/zp/MerchandiseImages/40F939D006-SP-15115560.jpg,0
29,1,yahoo,Apple 蘋果 AirPods 4 主動式降噪款 真無線藍牙耳機 贈矽膠保護套,5100,https://tw.buy.yahoo.com/gdsale/Apple-蘋果-AirPods-4-主動式降噪款-真無線藍牙耳機-11412962.html,https://s.yimg.com/zp/MerchandiseImages/EEB972AAA4-SP-18612398.jpg,0
30,1,yahoo,鐵三角 ATH-CKS50TW2 真無線耳機,4980,https://tw.buy.yahoo.com/gdsale/鐵三角-ATH-CKS50TW2-真無線耳機-11344250.html,https://s.yimg.com/zp/MerchandiseImages/3784B4FB5D-SP-18235204.jpg,0
31,1,yahoo,鐵三角 ATH-CKS550XiS  耳塞式耳機,1550,https://tw.buy.yahoo.com/gdsale/鐵三角-ATH-CKS550XiS-耳塞式耳機-7820512.html,https://s.yimg.com/zp/MerchandiseImages/0C042E9346-SP-5892592.jpg,0
32,1,yahoo,鐵三角 ATH-GDL3 NAR 魔物獵人 聯名款 遊戲專用開放式耳機麥克風組,3980,https://tw.buy.yahoo.com/gdsale/ATH-GDL3-NAR-聯名款-遊戲專用開放式耳機麥克風組-10644547.html,https://s.yimg.com/zp/MerchandiseImages/8E18BDA064-SP-14322461.jpg,0
33,1,yahoo,鐵三角 ATH-AC5TW 開放式無線耳掛式耳機 2色,3150,https://tw.buy.yahoo.com/gdsale/鐵三角-ATH-AC5TW-開放式無線耳掛式耳機-2色-11605774.html,https://s.yimg.com/zp/MerchandiseImages/8F6F87F367-SP-19941052.jpg,0
34,1,yahoo,Beats Fit Pro 真無線入耳式耳機 3色 可選,6290,https://tw.buy.yahoo.com/gdsale/Beats-Fit-Pro-真無線入耳式耳機-3色-可選-10446187.html,https://s.yimg.com/zp/MerchandiseImages/3804E41FAC-SP-13262714.jpg,0
35,1,yahoo,Beats Studio Buds + 真無線降噪耳塞式耳機(原廠公司貨),5390,https://tw.buy.yahoo.com/gdsale/Beats-Studio-Buds-真無線降噪耳塞式耳機-原廠公司貨-10671459.html,https://s.yimg.com/zp/MerchandiseImages/875389E384-SP-14498732.jpg,0
36,1,yahoo,Bose Quiet Comfort Ultra 消噪耳塞 (第一代),7990,https://tw.buy.yahoo.com/gdsale/Bose-Quiet-Comfort-Ultra-消噪耳塞-10942133.html,https://s.yimg.com/zp/MerchandiseImages/13209E1D0C-Gd-10942133.jpg,0
37,1,yahoo,Bose Quiet Comfort 消噪耳塞 晨霧白,4990,https://tw.buy.yahoo.com/gdsale/Bose-Quiet-Comfort-消噪耳塞-晨霧白-11224414.html,https://s.yimg.com/zp/MerchandiseImages/A3C0F911FD-SP-17787188.jpg,0
38,1,yahoo,PHILIPS 飛利浦 TWS真無線藍牙耳機-4色可選 TAT1207,1047,https://tw.buy.yahoo.com/gdsale/PHILIPS-飛利浦-TWS真無線藍牙耳機-4色可選-TAT1207-10117729.html,https://s.yimg.com/zp/MerchandiseImages/b28aad8a5a-Gd-10117729.jpg,0
39,1,yahoo,Cardo PACKTALK OUTDOOR 戶外運動通訊藍牙耳機(單入組),7340,https://tw.buy.yahoo.com/gdsale/Cardo-PACKTALK-OUTDOOR-戶外運動通訊藍牙耳機-10576938.html,https://s.yimg.com/zp/MerchandiseImages/44B02822F7-SP-13889767.jpg,0
40,1,yahoo,Samsung 三星 Galaxy Buds3 Pro 真無線藍牙耳機 (R630),4590,https://tw.buy.yahoo.com/gdsale/Galaxy-budsp-11146440.html,https://s.yimg.com/zp/MerchandiseImages/08e89a3a87-Gd-11146440.jpg,0
41,1,yahoo,SONY 立體聲入耳式線控耳機 MDR-EX155AP(公司貨),762,https://tw.buy.yahoo.com/gdsale/SONY-立體聲入耳式線控耳機-MDR-EX155-7224055.html,https://s.yimg.com/zp/images/87AAF5D9759FCA8ACAD57FA11D30823895E70EC9,0
42,1,yahoo,SONY WF-C710N 真無線藍牙耳機 (公司貨 保固12個月),3490,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=p0957265040690,p0957265040690-item-ca0bxf4x1400x1400-m.jpg,0
43,1,yahoo,【SONY 】 WF-1000XM5 旗艦真無線藍牙耳機+ Lapo WT-08 三代多功能快充無線行電超值組,8990,https://tw.buy.yahoo.com/gdsale/SONY-WF-1000XM5-旗艦真無線藍牙耳機-Lapo-WT-08-三代多功能快充無線行電超值-11142759.html,https://s.yimg.com/zp/MerchandiseImages/1EB57D7A9C-SP-17346606.jpg,0
44,1,yahoo,SONY WH-CH520 無線藍牙耳罩式耳機(公司貨保固12 個月),1490,https://tw.buy.yahoo.com/gdsale/SONY-WH-CH520-無線藍牙耳罩式耳機-公司貨保固12-個月-10636729.html,https://s.yimg.com/zp/MerchandiseImages/CCE135A5EC-SP-14288186.jpg,0
45,1,yahoo,【Sony 索尼】WF-1000XM5 旗艦真無線藍牙耳機 (公司貨 保固12+6個月),7490,https://tw.buy.yahoo.com/gdsale/Sony-索尼-WF-1000XM5-旗艦真無線藍牙耳機-公司貨-保固12-6個月-10660501.html,https://s.yimg.com/zp/MerchandiseImages/5FEA317F2C-Gd-10660501.jpg,0
46,1,yahoo,SONY WH-1000XM4 輕巧無線藍牙降噪耳罩式耳機 2色 可選,7400,https://tw.buy.yahoo.com/gdsale/SONY-WH-1000XM4-輕巧無線藍牙降噪耳罩式耳機-2色-可選-9101153.html,https://s.yimg.com/zp/MerchandiseImages/5b9a1cb3f2-Gd-9101153.jpg,0
47,1,yahoo,[Sony 索尼公司貨 保固12+6] WH-1000XM5 主動式降噪旗艦藍牙耳機(頂級降噪 /極真音質/配戴舒適),9900,https://tw.buy.yahoo.com/gdsale/Sony-索尼公司貨-保固12-6-WH-1000XM5-主動式降噪旗艦藍牙耳機-頂級降噪-極真音質-10054546.html,https://s.yimg.com/zp/MerchandiseImages/8036FDB326-Gd-10054546.jpg,0
48,1,yahoo,SONY WF-C510 真無線耳機,1690,https://tw.buy.yahoo.com/gdsale/SONY-WF-C510-真無線耳機-11210791.html,https://s.yimg.com/zp/MerchandiseImages/F4620DD074-Product-35614086.jpg,0
49,1,yahoo,SONY WH-CH720N 無線藍牙 耳罩式耳機 4色 可選,3990,https://tw.buy.yahoo.com/gdsale/SONY-WH-CH720N-無線藍牙-耳罩式耳機-3色-可選-10451064.html,https://s.yimg.com/zp/MerchandiseImages/6b0c14636c-Gd-10451064.jpg,0
50,1,yahoo,SONY WH-1000XM5 無線藍牙降噪 耳罩式耳機,9900,https://tw.buy.yahoo.com/gdsale/SONY-WH-1000XM5-無線藍牙降噪-耳罩式耳機-10054516.html,https://s.yimg.com/zp/MerchandiseImages/22E60D1BA1-Gd-10054516.jpg,0
51,1,pchome,"34折
加碼送1000P幣
石頭科技Qrevo Master掃地機
$19,999
$59,999",19999,https://24h.pchome.com.tw/prod/DMBL1C-1900IE46E,,0
52,1,pchome,"56折
加碼送2479P幣
石頭科技G30潛行俠全能升降極淨王者
$36,980
$66,999",36980,https://24h.pchome.com.tw/prod/DMBL1C-A900IVEWR,https://img.pchome.com.tw/fs/img/h24/new/index/v1/images/img/mobile_loading.svg,0
53,1,pchome,"69折
登記抽行動電源!
POCO X6 Pro 5G (12G/512G)
$7,499
$10,999",7499,https://24h.pchome.com.tw/prod/DYANBG-A900H3GZ1,https://img.pchome.com.tw/fs/img/h24/new/index/v1/images/img/mobile_loading.svg,0
54,2,yahoo,O-one APPLE iPhone 16e 高質感皮革可立式掀蓋手機皮套 手機殼,490,https://tw.buy.yahoo.com/gdsale/O-one-APPLE-iPhone-16e-皮套-手機殼-11516504.html,https://s.yimg.com/zp/MerchandiseImages/480147EA83-SP-19248648.jpg,0
55,2,yahoo,美國 CASE-MATE 三星 S25+ Tough 強悍防摔手機殼 - 黑,1280,https://tw.buy.yahoo.com/gdsale/美國-CASE-MATE-三星-S25-Tough-強悍防摔手機殼-黑-11521149.html,https://s.yimg.com/zp/MerchandiseImages/3CB94DEFC0-SP-19287110.jpg,0
56,2,yahoo,【O-ONE】軍功II防摔殼-磁石版 Apple iPhone 13 磁吸式手機殼 保護殼,590,https://tw.buy.yahoo.com/gdsale/O-one軍功II防摔殼-磁石版-Apple-iPhone-13-6-1吋-美國軍事防摔-磁吸式手機-9694543.html,https://s.yimg.com/zp/MerchandiseImages/cd98348d07-Gd-9694543.jpg,0
57,2,yahoo,犀牛盾 iPhone 全系列 SolidSuit防摔背蓋手機殼/Hello Kitty-Sticker-生活小物,830,https://tw.buy.yahoo.com/gdsale/犀牛盾-iPhone-SolidSuit防摔背蓋手機殼-Hello-Kitty-Sticker-生活-10569769.html,https://s.yimg.com/zp/MerchandiseImages/cf05d1d1b2-Product-32349095.jpg,0
58,2,yahoo,反骨創意 APPLE 全系列 彩繪防摔手機殼-咪咪燒(i16ProMax/i16Plus/mini/Pro/15/14/13/12/SE3/XR),390,https://tw.buy.yahoo.com/gdsale/反骨創意-APPLE-全系列-彩繪防摔手機殼-咪咪燒-11209200.html,https://s.yimg.com/zp/MerchandiseImages/d9c582f869-Gd-11209200.jpg,0
59,2,yahoo,【O-ONE】軍功防摔殼 Apple iPhone 11 美國軍事防摔手機殼 保護殼,290,https://tw.buy.yahoo.com/gdsale/O-one軍功防摔殼-Apple-iPhone-11-美國軍事防摔手機殼-保護殼-10893856.html,https://s.yimg.com/zp/MerchandiseImages/FD104E4E47-SP-15793984.jpg,0
60,2,yahoo,【O-ONE】軍功II防摔殼-磁石版 Apple iPhone 15 Pro 磁吸式手機殼 保護殼,590,https://tw.buy.yahoo.com/gdsale/O-one軍功II防摔殼-磁石版-Apple-iPhone-15-Pro-磁吸式手機殼-保護殼-10724490.html,https://s.yimg.com/zp/MerchandiseImages/f3f9ea1597-Gd-10724490.jpg,0
61,2,yahoo,【O-ONE】軍功II防摔殼-晶石版 Apple iPhone 11 美國軍事防摔手機殼 保護殼,390,https://tw.buy.yahoo.com/gdsale/O-one軍功II防摔殼-Apple-iPhone11-美國軍事防摔手機殼-保護殼-9512556.html,https://s.yimg.com/zp/MerchandiseImages/BB1EA340B4-SP-9853307.jpg,0
62,2,yahoo,四孔掛繩透明手機殼 iPhone14 iPhone15 三星Samsung S23 三星Samsung S24,99,https://tw.buy.yahoo.com/gdsale/gdsale.asp?gdid=p0797264300790,p0797264300790-item-5499xf4x1000x1000-m.jpg,0
63,2,yahoo,【O-ONE】軍功II防摔殼-掛繩殼 Apple iPhone 11 Pro 防摔可調式斜背掛繩手機殼 手機套,490,https://tw.buy.yahoo.com/gdsale/O-one-Apple-iPhone-11-Pro-可調式掛繩手機殼-斜背式手機殼-手機套-9542118.html,https://s.yimg.com/zp/MerchandiseImages/fa31616c25-Gd-9542118.jpg,0
